date,crime_rate,state
2011-12-01,485.1,Alabama
2012-01-01,231.63,Alabama
2012-02-01,179.89,Alabama
2012-03-01,217.79,Alabama
2012-04-01,231.08,Alabama
2012-05-01,241.54,Alabama
2012-06-01,332.64,Alabama
2012-07-01,236.69,Alabama
2012-08-01,238.5,Alabama
2012-09-01,221.65,Alabama
2012-10-01,234.37,Alabama
2012-11-01,220.05,Alabama
2012-12-01,961.52,Alabama
2013-01-01,275.92,Alabama
2013-02-01,231.97,Alabama
2013-03-01,252.29,Alabama
2013-04-01,271.36,Alabama
2013-05-01,284.11,Alabama
2013-06-01,291.27,Alabama
2013-07-01,306.25,Alabama
2013-08-01,307.39,Alabama
2013-09-01,299.86,Alabama
2013-10-01,320.37,Alabama
2013-11-01,273.92,Alabama
2013-12-01,286.49,Alabama
2014-01-01,266.89,Alabama
2014-02-01,223.68,Alabama
2014-03-01,256.69,Alabama
2014-04-01,266.12,Alabama
2014-05-01,277.3,Alabama
2014-06-01,284.3,Alabama
2014-07-01,292.28,Alabama
2014-08-01,279.01,Alabama
2014-09-01,264.4,Alabama
2014-10-01,263.39,Alabama
2014-11-01,260.86,Alabama
2014-12-01,264.83,Alabama
2015-01-01,247.61,Alabama
2015-02-01,181.43,Alabama
2015-03-01,237.76,Alabama
2015-04-01,248.52,Alabama
2015-05-01,259.5,Alabama
2015-06-01,252.53,Alabama
2015-07-01,270.67,Alabama
2015-08-01,263.94,Alabama
2015-09-01,262.78,Alabama
2015-10-01,266.14,Alabama
2015-11-01,251.22,Alabama
2015-12-01,253.43,Alabama
2016-01-01,246.91,Alabama
2016-02-01,190.38,Alabama
2016-03-01,225.09,Alabama
2016-04-01,231.11,Alabama
2016-05-01,256.49,Alabama
2016-06-01,249.34,Alabama
2016-07-01,270.01,Alabama
2016-08-01,269.17,Alabama
2016-09-01,257.16,Alabama
2016-10-01,266.57,Alabama
2016-11-01,234.6,Alabama
2016-12-01,258.6,Alabama
2017-01-01,245.15,Alabama
2017-02-01,212.21,Alabama
2017-03-01,225.66,Alabama
2017-04-01,243.57,Alabama
2017-05-01,260.27,Alabama
2017-06-01,261.69,Alabama
2017-07-01,276.62,Alabama
2017-08-01,266.38,Alabama
2017-09-01,243.2,Alabama
2017-10-01,250.68,Alabama
2017-11-01,234.28,Alabama
2017-12-01,237.79,Alabama
2018-01-01,238.19,Alabama
2018-02-01,212.06,Alabama
2018-03-01,218.4,Alabama
2018-04-01,209.21,Alabama
2018-05-01,248.38,Alabama
2018-06-01,246.71,Alabama
2018-07-01,272.16,Alabama
2018-08-01,261.24,Alabama
2018-09-01,235.48,Alabama
2018-10-01,240.22,Alabama
2018-11-01,225.22,Alabama
2018-12-01,224.92,Alabama
2019-01-01,199.77,Alabama
2019-02-01,166.27,Alabama
2019-03-01,175.17,Alabama
2019-04-01,185.93,Alabama
2019-05-01,187.52,Alabama
2019-06-01,176.11,Alabama
2019-07-01,170.39,Alabama
2019-08-01,96.38,Alabama
2019-09-01,15.86,Alabama
2019-10-01,17.58,Alabama
2019-11-01,14.07,Alabama
2019-12-01,16.89,Alabama
2020-01-01,199.15,Alabama
2020-02-01,168.37,Alabama
2020-03-01,170.38,Alabama
2020-04-01,151.77,Alabama
2020-05-01,137.28,Alabama
2020-06-01,92.97,Alabama
2020-07-01,136.0,Alabama
2020-08-01,110.04,Alabama
2020-09-01,31.82,Alabama
2020-10-01,35.6,Alabama
2020-11-01,28.42,Alabama
2020-12-01,40.17,Alabama
2021-01-01,89.12,Alabama
2021-02-01,94.78,Alabama
2021-03-01,97.0,Alabama
2021-04-01,95.13,Alabama
2021-05-01,108.85,Alabama
2021-06-01,109.64,Alabama
2021-07-01,125.34,Alabama
2021-08-01,127.23,Alabama
2021-09-01,130.68,Alabama
2021-10-01,134.04,Alabama
2021-11-01,123.87,Alabama
2021-12-01,138.07,Alabama
2022-01-01,125.44,Alabama
2022-02-01,118.95,Alabama
