,date,crime_rate,state
515,1988-02-01,265.12,Alaska
516,1988-03-01,311.17,Alaska
517,1988-04-01,283.74,Alaska
518,1988-05-01,312.77,Alaska
519,1988-06-01,336.4,Alaska
520,1988-07-01,335.0,Alaska
521,1988-08-01,370.44,Alaska
522,1988-09-01,300.56,Alaska
523,1988-10-01,288.55,Alaska
524,1988-11-01,239.29,Alaska
525,1988-12-01,1085.9,Alaska
526,1989-01-01,228.05,Alaska
527,1989-02-01,243.97,Alaska
528,1989-03-01,272.63,Alaska
529,1989-04-01,291.53,Alaska
530,1989-05-01,322.37,Alaska
531,1989-06-01,331.73,Alaska
532,1989-07-01,361.38,Alaska
533,1989-08-01,366.55,Alaska
534,1989-09-01,305.46,Alaska
535,1989-10-01,263.27,Alaska
536,1989-11-01,217.11,Alaska
537,1989-12-01,1086.32,Alaska
538,1990-01-01,223.06,Alaska
539,1990-02-01,211.39,Alaska
540,1990-03-01,254.12,Alaska
541,1990-04-01,285.44,Alaska
542,1990-05-01,328.66,Alaska
543,1990-06-01,331.67,Alaska
544,1990-07-01,379.86,Alaska
545,1990-08-01,400.95,Alaska
546,1990-09-01,364.8,Alaska
547,1990-10-01,359.16,Alaska
548,1990-11-01,250.54,Alaska
549,1990-12-01,1224.67,Alaska
550,1991-01-01,279.73,Alaska
551,1991-02-01,288.58,Alaska
552,1991-03-01,457.78,Alaska
553,1991-04-01,304.82,Alaska
554,1991-05-01,383.79,Alaska
555,1991-06-01,623.29,Alaska
556,1991-07-01,558.71,Alaska
557,1991-08-01,559.08,Alaska
558,1991-09-01,481.03,Alaska
559,1991-10-01,421.17,Alaska
560,1991-11-01,358.88,Alaska
561,1991-12-01,360.73,Alaska
562,1992-01-01,250.68,Alaska
563,1992-02-01,214.39,Alaska
564,1992-03-01,610.06,Alaska
565,1992-04-01,285.03,Alaska
566,1992-05-01,325.61,Alaska
567,1992-06-01,683.84,Alaska
568,1992-07-01,365.03,Alaska
569,1992-08-01,370.51,Alaska
570,1992-09-01,642.84,Alaska
571,1992-10-01,291.91,Alaska
572,1992-11-01,278.01,Alaska
573,1992-12-01,744.4,Alaska
574,1993-01-01,202.78,Alaska
575,1993-02-01,185.69,Alaska
576,1993-03-01,226.51,Alaska
577,1993-04-01,215.91,Alaska
578,1993-05-01,249.27,Alaska
579,1993-06-01,269.76,Alaska
580,1993-07-01,280.01,Alaska
581,1993-08-01,279.84,Alaska
582,1993-09-01,248.4,Alaska
583,1993-10-01,227.38,Alaska
584,1993-11-01,211.05,Alaska
585,1993-12-01,2214.04,Alaska
586,1994-01-01,340.13,Alaska
587,1994-02-01,340.3,Alaska
588,1994-03-01,351.0,Alaska
589,1994-04-01,378.09,Alaska
590,1994-05-01,435.56,Alaska
591,1994-06-01,456.44,Alaska
592,1994-07-01,536.68,Alaska
593,1994-08-01,554.63,Alaska
594,1994-09-01,460.93,Alaska
595,1994-10-01,371.02,Alaska
596,1994-11-01,305.79,Alaska
597,1994-12-01,412.09,Alaska
598,1995-01-01,312.37,Alaska
599,1995-02-01,260.05,Alaska
600,1995-03-01,286.97,Alaska
601,1995-04-01,340.06,Alaska
602,1995-05-01,378.56,Alaska
603,1995-06-01,431.8,Alaska
604,1995-07-01,475.23,Alaska
605,1995-08-01,472.02,Alaska
606,1995-09-01,359.3,Alaska
607,1995-10-01,370.63,Alaska
608,1995-11-01,298.65,Alaska
609,1995-12-01,1058.33,Alaska
610,1996-01-01,343.3,Alaska
611,1996-02-01,321.97,Alaska
612,1996-03-01,391.93,Alaska
613,1996-04-01,362.51,Alaska
614,1996-05-01,431.95,Alaska
615,1996-06-01,442.93,Alaska
616,1996-07-01,426.83,Alaska
617,1996-08-01,419.51,Alaska
618,1996-09-01,455.2,Alaska
619,1996-10-01,317.92,Alaska
620,1996-11-01,301.82,Alaska
621,1996-12-01,376.31,Alaska
622,1997-01-01,320.91,Alaska
623,1997-02-01,314.16,Alaska
624,1997-03-01,312.66,Alaska
625,1997-04-01,341.53,Alaska
626,1997-05-01,383.9,Alaska
627,1997-06-01,409.39,Alaska
628,1997-07-01,453.25,Alaska
629,1997-08-01,462.58,Alaska
630,1997-09-01,405.13,Alaska
631,1997-10-01,325.2,Alaska
632,1997-11-01,288.08,Alaska
633,1997-12-01,341.96,Alaska
634,1998-01-01,298.51,Alaska
635,1998-02-01,279.3,Alaska
636,1998-03-01,330.6,Alaska
637,1998-04-01,367.18,Alaska
638,1998-05-01,384.61,Alaska
639,1998-06-01,372.49,Alaska
640,1998-07-01,380.11,Alaska
641,1998-08-01,387.86,Alaska
642,1998-09-01,337.4,Alaska
643,1998-10-01,264.57,Alaska
644,1998-11-01,245.83,Alaska
645,1998-12-01,290.05,Alaska
646,1999-01-01,267.63,Alaska
647,1999-02-01,227.96,Alaska
648,1999-03-01,282.79,Alaska
649,1999-04-01,286.32,Alaska
650,1999-05-01,297.78,Alaska
651,1999-06-01,350.14,Alaska
652,1999-07-01,366.89,Alaska
653,1999-08-01,383.46,Alaska
654,1999-09-01,325.81,Alaska
655,1999-10-01,264.46,Alaska
656,1999-11-01,253.17,Alaska
657,1999-12-01,389.63,Alaska
658,2000-01-01,256.85,Alaska
659,2000-02-01,261.84,Alaska
660,2000-03-01,282.7,Alaska
661,2000-04-01,295.89,Alaska
662,2000-05-01,331.97,Alaska
663,2000-06-01,371.68,Alaska
664,2000-07-01,375.82,Alaska
665,2000-08-01,388.43,Alaska
666,2000-09-01,317.65,Alaska
667,2000-10-01,257.4,Alaska
668,2000-11-01,258.5,Alaska
669,2000-12-01,273.39,Alaska
670,2001-01-01,267.83,Alaska
671,2001-02-01,258.27,Alaska
672,2001-03-01,275.92,Alaska
673,2001-04-01,299.27,Alaska
674,2001-05-01,319.56,Alaska
675,2001-06-01,340.88,Alaska
676,2001-07-01,354.82,Alaska
677,2001-08-01,366.49,Alaska
678,2001-09-01,319.6,Alaska
679,2001-10-01,238.94,Alaska
680,2001-11-01,225.28,Alaska
